WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
564,Chernyshevskiy,RU,63.0128,112.4714,-23.55,98,99,1.97,overcast clouds
565,Yarmouth,US,41.7057,-70.2286,42.85,95,0,7.0,mist
566,Bonfim,BR,3.0833,-59.95,76.98,61,7,8.77,clear sky
567,Mount Gambier,AU,-37.8333,140.7667,71.91,42,17,9.4,few clouds
568,Rio Grande,BR,-32.035,-52.0986,74.64,83,8,9.24,clear sky
569,Champaign,US,40.1334,-88.2001,12.27,65,100,17.27,overcast clouds
570,Kimbe,PG,-5.5502,150.1429,86.68,65,96,8.41,overcast clouds
571,Buchanan,LR,5.8808,-10.0467,77.32,89,37,1.36,scattered clouds
572,Palora,EC,-1.7,-77.9333,68.79,81,83,3.02,broken clouds
573,Zabol,AF,32.25,67.25,25.29,79,35,8.41,scattered clouds
574,Galesong,ID,-5.3166,119.3661,84.22,77,100,10.71,overcast clouds
575,Colquechaca,BO,-18.6667,-66.0167,35.51,89,81,4.0,broken clouds
576,Kindersley,CA,51.4668,-109.1682,-0.38,78,100,6.91,overcast clouds
577,San Jose,US,37.3394,-121.895,49.24,45,0,4.0,clear sky
578,Gbarnga,LR,6.9956,-9.4722,70.68,98,81,1.39,light rain
579,Campbell River,CA,50.0163,-125.2446,33.46,93,75,0.0,broken clouds
580,Beloha,MG,-25.1667,45.05,71.78,75,92,11.86,overcast clouds
581,Monte Patria,CL,-30.6919,-70.9467,71.58,59,71,2.77,broken clouds
582,Yining,CN,29.0361,114.5636,67.48,21,0,1.7,clear sky
583,Lasa,IT,46.6166,10.7002,29.35,93,52,9.04,broken clouds
584,Ust-Kuyga,RU,70.0167,135.6,-18.2,96,100,3.04,overcast clouds
585,Fakel,RU,57.6325,53.0252,23.04,92,100,12.12,overcast clouds
586,Yakima,US,46.4665,-120.6678,26.85,60,0,0.0,clear sky
587,Pringsewu,ID,-5.3582,104.9744,84.76,73,99,1.68,overcast clouds
588,Egvekinot,RU,66.3167,-179.1667,22.28,97,100,5.39,snow
589,Kathu,TH,7.9178,98.3332,83.7,99,93,15.23,overcast clouds
590,Kloulklubed,PW,7.0419,134.2556,82.9,75,99,15.93,overcast clouds
591,Sarangani,PH,5.4033,125.4636,81.45,79,99,21.14,overcast clouds
592,Ambilobe,MG,-13.2,49.05,77.56,92,65,1.45,broken clouds
593,Lata,PT,40.1629,-8.3327,31.08,76,0,3.91,clear sky
594,Mirabad,AF,30.4362,61.8383,48.96,51,47,6.29,scattered clouds
595,Channel-Port Aux Basques,CA,47.5702,-59.1367,27.05,73,100,5.7,overcast clouds
596,Strezhevoy,RU,60.7333,77.5889,6.51,97,100,6.96,overcast clouds
597,Furtwangen,DE,48.05,8.2,25.34,65,70,3.09,broken clouds
598,Bathsheba,BB,13.2167,-59.5167,72.21,83,40,6.91,light rain
599,Kilis,TR,36.7161,37.115,41.23,87,100,6.31,overcast clouds
600,Port Hardy,CA,50.6996,-127.4199,33.98,80,100,3.44,overcast clouds
601,Dong Hoi,VN,17.4833,106.6,65.57,65,27,3.94,scattered clouds
602,Lorengau,PG,-2.0226,147.2712,83.73,72,60,5.32,broken clouds
603,Male,MV,4.1748,73.5089,82.35,78,75,8.05,haze
604,Yekaterinoslavka,RU,50.3734,129.1139,-2.02,91,83,2.46,broken clouds
605,Camacupa,AO,-12.0167,17.4833,59.18,95,98,1.07,overcast clouds
606,Son La,VN,21.3167,103.9,70.61,34,1,0.94,clear sky
607,Inhambane,MZ,-23.865,35.3833,77.58,73,83,10.09,broken clouds
608,Warrington,GB,53.3925,-2.5802,49.6,82,100,16.11,overcast clouds
609,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,71,0,3.44,clear sky
